Date,Hour,Sensor,Room,Sensor Value,Sensor Unit,Room Status
2025-08-14,09:00,Temperature Sensor,Living Room,21.49,°C,High Temperature
2025-08-14,09:00,Temperature Sensor,Kitchen,21.84,°C,High Temperature
2025-08-14,09:00,Temperature Sensor,Bedroom,21.15,°C,High Temperature
2025-08-14,09:00,Humidity Sensor,Living Room,51.92,%,Normal Humidity
2025-08-14,09:00,Humidity Sensor,Kitchen,49.96,%,Normal Humidity
2025-08-14,09:00,Humidity Sensor,Bedroom,50.4,%,Normal Humidity
2025-08-14,09:05,Temperature Sensor,Living Room,20.69,°C,High Temperature
2025-08-14,09:05,Temperature Sensor,Kitchen,21.28,°C,High Temperature
2025-08-14,09:05,Temperature Sensor,Bedroom,21.49,°C,High Temperature
2025-08-14,09:05,Humidity Sensor,Living Room,50.23,%,Normal Humidity
2025-08-14,09:05,Humidity Sensor,Kitchen,48.68,%,Normal Humidity
2025-08-14,09:05,Humidity Sensor,Bedroom,50.65,%,Normal Humidity
2025-08-14,09:10,Temperature Sensor,Living Room,20.34,°C,High Temperature
2025-08-14,09:10,Temperature Sensor,Kitchen,19.97,°C,High Temperature
2025-08-14,09:10,Temperature Sensor,Bedroom,21.02,°C,High Temperature
2025-08-14,09:10,Humidity Sensor,Living Room,52.27,%,Normal Humidity
2025-08-14,09:10,Humidity Sensor,Kitchen,50.15,%,Normal Humidity
2025-08-14,09:10,Humidity Sensor,Bedroom,52.13,%,Normal Humidity
2025-08-14,09:15,Temperature Sensor,Living Room,20.47,°C,High Temperature
2025-08-14,09:15,Temperature Sensor,Kitchen,20.63,°C,High Temperature
2025-08-14,09:15,Temperature Sensor,Bedroom,20.6,°C,High Temperature
2025-08-14,09:15,Humidity Sensor,Living Room,50.14,%,Normal Humidity
2025-08-14,09:15,Humidity Sensor,Kitchen,49.28,%,Normal Humidity
2025-08-14,09:15,Humidity Sensor,Bedroom,50.1,%,Normal Humidity
2025-08-14,09:20,Temperature Sensor,Living Room,20.74,°C,High Temperature
2025-08-14,09:20,Temperature Sensor,Kitchen,21.08,°C,High Temperature
2025-08-14,09:20,Temperature Sensor,Bedroom,21.51,°C,High Temperature
2025-08-14,09:20,Humidity Sensor,Living Room,50.04,%,Normal Humidity
2025-08-14,09:20,Humidity Sensor,Kitchen,51.55,%,Normal Humidity
2025-08-14,09:20,Humidity Sensor,Bedroom,50.19,%,Normal Humidity
2025-08-14,09:25,Temperature Sensor,Living Room,21.06,°C,High Temperature
2025-08-14,09:25,Temperature Sensor,Kitchen,21.03,°C,High Temperature
2025-08-14,09:25,Temperature Sensor,Bedroom,21.82,°C,High Temperature
2025-08-14,09:25,Humidity Sensor,Living Room,52.05,%,Normal Humidity
