Date: 2025-08-14, Hour: 09:00, Room: Living Room, Sensor: Temperature Sensor, Value: 21.49°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.84°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.15°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:00, Room: Living Room, Sensor: Humidity Sensor, Value: %51.92, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %49.96, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %50.4, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:05, Room: Living Room, Sensor: Temperature Sensor, Value: 20.69°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.28°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.49°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:05, Room: Living Room, Sensor: Humidity Sensor, Value: %50.23, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:05, Room: Kitchen, Sensor: Humidity Sensor, Value: %48.68, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:05, Room: Bedroom, Sensor: Humidity Sensor, Value: %50.65, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:10, Room: Living Room, Sensor: Temperature Sensor, Value: 20.34°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:10, Room: Kitchen, Sensor: Temperature Sensor, Value: 19.97°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:10, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.02°C, Status: High Temperature
Date: 2025-08-14, Hour: 09:10, Room: Living Room, Sensor: Humidity Sensor, Value: %52.27, Status: Normal Humidity
Date: 2025-08-14, Hour: 09:10, Room: Kitchen, Sensor: Humidity Sensor, Value: %50.15, Status: Normal Humidity
